Ver. 2.0
CustomSeparator  
d_time double-matrix*1*3 #
3466.546725 14.437500 26.625000 -3.500000
3466.569166 10.250000 29.500000 -3.562500
3466.651037 15.937500 24.562500 -10.437500
3466.728293 16.187500 18.687500 -12.437500
3466.781456 18.375000 14.875000 -13.500000
3466.844818 17.437500 14.250000 -13.687500
3467.336438 14.500000 11.687500 -13.687500
3467.441464 13.187500 9.250000 -16.375000
3467.499254 -17.875000 -15.000000 -68.250000
3467.532165 -15.937500 -9.875000 -59.687500
3467.583348 -14.062500 -8.812500 -56.250000
3467.657633 4.062500 -0.687500 -30.437500
3467.744752 5.062500 5.437500 -15.375000
3467.773235 4.000000 7.062500 -13.625000
3467.850298 0.500000 11.000000 -6.812500
3467.933173 2.500000 14.437500 1.312500
3467.984923 3.937500 13.312500 5.562500
3468.045110 3.625000 8.812500 5.125000
3468.095982 3.312500 6.437500 4.375000
3468.137217 0.875000 5.062500 1.750000
3468.170657 -1.375000 3.562500 -0.500000
3468.249594 -5.500000 -4.250000 -5.687500
3468.347013 -9.750000 6.000000 -7.562500
3468.410581 -13.562500 4.125000 -10.562500
3468.453826 -7.750000 -0.187500 -9.937500
3468.511626 -2.187500 -3.937500 -10.250000
3468.555971 0.312500 -2.375000 -16.687500
3468.623758 1.125000 -0.625000 -18.750000
3468.670316 5.750000 -1.437500 -17.562500
3468.748319 3.437500 -5.687500 -15.312500
3468.772416 7.750000 -6.062500 -12.687500
3468.848414 3.000000 -2.375000 -9.250000
3468.906760 2.875000 -1.000000 -6.187500
3468.981199 0.812500 -1.812500 -7.812500
3469.002542 -3.625000 -1.812500 -9.250000
3469.024076 -6.625000 -1.000000 -12.187500
3469.069304 -22.812500 2.937500 -21.875000
3469.132157 -27.250000 1.250000 -25.437500
3469.154545 -36.437500 -17.125000 -37.937500
3469.204983 -39.062500 -27.125000 -43.687500
3469.258607 -29.125000 -46.562500 -55.875000
3469.318489 -25.937500 -68.812500 -66.125000
3469.347671 -5.437500 -87.562500 -73.437500
3469.500937 9.312500 -72.500000 -80.437500
3469.555552 -47.750000 -12.937500 -71.625000
3469.648485 -39.437500 -10.937500 -62.250000
3469.749816 -42.125000 -15.187500 -61.937500
3469.776891 -35.937500 -15.875000 -40.812500
3469.819542 -43.312500 -7.625000 -30.687500
3469.978146 -29.937500 -6.187500 -26.812500
3470.057619 -18.125000 -11.250000 -23.687500
