Ver. 2.0
CustomSeparator  
d_time double-matrix*1*3 #
3466.145452 -0.582268 0.749966 2.613044
3466.173138 -0.583845 0.748423 2.609338
3466.209638 -0.577071 0.745389 2.608445
3466.247335 -0.571477 0.742273 2.605125
3466.273152 -0.571073 0.742117 2.601674
3466.297744 -0.570888 0.743433 2.596876
3466.332321 -0.575357 0.746408 2.583375
3466.366730 -0.573762 0.740951 2.563879
3466.387282 -0.579517 0.740907 2.551162
3466.467366 -0.609988 0.740439 2.501176
3466.547210 -0.622245 0.762864 2.461106
3466.569463 -0.628085 0.777298 2.442417
3466.652011 -0.640150 0.800960 2.399300
3466.728865 -0.647164 0.808920 2.366181
3466.781985 -0.650645 0.813737 2.334139
3466.845128 -0.655642 0.817205 2.312557
3467.336873 -0.660149 0.819455 2.292170
3467.442134 -0.664287 0.819021 2.281299
3467.499570 -0.910553 0.390142 1.970541
3467.532600 -0.935352 0.333940 1.938370
3467.584244 -0.943386 0.318447 1.928649
3467.658065 -0.956582 0.266539 1.891761
3467.745087 -0.959230 0.250886 1.868510
3467.773544 -0.961091 0.247604 1.858919
3467.850938 -0.961653 0.248171 1.841169
3467.933611 -0.963656 0.260219 1.823161
3467.985213 -0.962604 0.272553 1.812606
3468.045643 -0.960234 0.283000 1.806236
3468.096858 -0.959112 0.287252 1.803626
3468.137761 -0.959792 0.289412 1.801113
3468.171221 -0.961761 0.289633 1.798521
3468.250156 -0.968825 0.282027 1.796523
3468.347415 -0.986539 0.269749 1.785243
3468.411033 -1.003192 0.262655 1.774859
3468.455206 -1.008792 0.257178 1.771002
3468.512084 -1.012881 0.244612 1.767251
3468.556787 -1.012701 0.227417 1.763235
3468.624105 -1.013606 0.210273 1.754006
3468.670961 -1.012727 0.194613 1.744544
3468.748911 -1.009460 0.179206 1.739686
3468.773074 -1.005267 0.170284 1.738172
3468.848944 -1.002423 0.160943 1.735678
3468.907178 -1.000076 0.156422 1.733723
3468.981575 -0.999979 0.144600 1.730046
3469.003089 -1.002443 0.141094 1.728709
3469.024565 -1.006233 0.136373 1.726403
3469.070062 -1.031819 0.116580 1.714127
3469.132667 -1.044569 0.107235 1.708945
3469.155075 -1.087751 0.066992 1.699953
3469.205586 -1.102257 0.048214 1.701393
3469.259067 -1.124502 0.000046 1.710510
3469.318967 -1.140860 -0.057073 1.732541
3469.348171 -1.151744 -0.151995 1.780458
3469.501385 -1.154873 -0.261091 1.826043
3469.556639 -1.228034 -0.488938 1.834720
3469.648979 -1.250482 -0.533067 1.824625
3469.750581 -1.262945 -0.555133 1.822012
3469.777351 -1.371857 -0.700342 1.841267
3469.819850 -1.415443 -0.732483 1.846285
3469.978487 -1.438217 -0.747327 1.845570
3470.058177 -1.452151 -0.760307 1.849041
